Country,Country Code,Series,Series Code,2018 [2018]
Bangladesh,BGD,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bangladesh,BGD,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bangladesh,BGD,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Bangladesh,BGD,"Total Reserves,,,,",TOTRESV,32016.252
Bangladesh,BGD,"Unemployment rate,Percent,,,",UNEMPSA_,..
Barbados,BRB,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Barbados,BRB,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Barbados,BRB,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Barbados,BRB,"Total Reserves,,,,",TOTRESV,..
Barbados,BRB,"Unemployment rate,Percent,,,",UNEMPSA_,..
Belarus,BLR,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Belarus,BLR,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Belarus,BLR,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,79903.1199450103
Belarus,BLR,"Total Reserves,,,,",TOTRESV,5391.30589502877
Belarus,BLR,"Unemployment rate,Percent,,,",UNEMPSA_,4.82792412882
Belgium,BEL,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,366191.355751752
Belgium,BEL,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,364936.582214876
Belgium,BEL,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,437322
Belgium,BEL,"Total Reserves,,,,",TOTRESV,17872.3642528311
Belgium,BEL,"Unemployment rate,Percent,,,",UNEMPSA_,5.95689921428
Belize,BLZ,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Belize,BLZ,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Belize,BLZ,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,2814.1
Belize,BLZ,"Total Reserves,,,,",TOTRESV,294.46843505729
Belize,BLZ,"Unemployment rate,Percent,,,",UNEMPSA_,..
Benin,BEN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Benin,BEN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Benin,BEN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Benin,BEN,"Total Reserves,,,,",TOTRESV,..
Benin,BEN,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bermuda,BMU,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bermuda,BMU,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bermuda,BMU,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Bermuda,BMU,"Total Reserves,,,,",TOTRESV,..
Bermuda,BMU,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bhutan,BTN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bhutan,BTN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bhutan,BTN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Bhutan,BTN,"Total Reserves,,,,",TOTRESV,987.24703558398
Bhutan,BTN,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bolivia,BOL,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bolivia,BOL,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bolivia,BOL,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,48166.5170806082
Bolivia,BOL,"Total Reserves,,,,",TOTRESV,8946.4
Bolivia,BOL,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bosnia and Herzegovina,BIH,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bosnia and Herzegovina,BIH,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bosnia and Herzegovina,BIH,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,31546.179126619
Bosnia and Herzegovina,BIH,"Total Reserves,,,,",TOTRESV,6736.59923274363
Bosnia and Herzegovina,BIH,"Unemployment rate,Percent,,,",UNEMPSA_,..
Botswana,BWA,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Botswana,BWA,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Botswana,BWA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,96494.9712183729
Botswana,BWA,"Total Reserves,,,,",TOTRESV,6656.91363784624
Botswana,BWA,"Unemployment rate,Percent,,,",UNEMPSA_,..
Brazil,BRA,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,238430.650720805
Brazil,BRA,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,174685.02445233
Brazil,BRA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,1184053
Brazil,BRA,"Total Reserves,,,,",TOTRESV,374715
Brazil,BRA,"Unemployment rate,Percent,,,",UNEMPSA_,12.2564278569
Brunei,BRN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Brunei,BRN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Brunei,BRN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Brunei,BRN,"Total Reserves,,,,",TOTRESV,..
Brunei,BRN,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bulgaria,BGR,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bulgaria,BGR,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,-16398.7686268542
Bulgaria,BGR,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,98889.1216
Bulgaria,BGR,"Total Reserves,,,,",TOTRESV,28727.23
Bulgaria,BGR,"Unemployment rate,Percent,,,",UNEMPSA_,6.17083333333
Burkina Faso,BFA,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Burkina Faso,BFA,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Burkina Faso,BFA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Burkina Faso,BFA,"Total Reserves,,,,",TOTRESV,..
Burkina Faso,BFA,"Unemployment rate,Percent,,,",UNEMPSA_,..
Burundi,BDI,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Burundi,BDI,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Burundi,BDI,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Burundi,BDI,"Total Reserves,,,,",TOTRESV,..
Burundi,BDI,"Unemployment rate,Percent,,,",UNEMPSA_,..
Cambodia,KHM,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cambodia,KHM,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cambodia,KHM,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Cambodia,KHM,"Total Reserves,,,,",TOTRESV,10143.74
Cambodia,KHM,"Unemployment rate,Percent,,,",UNEMPSA_,..
Cameroon,CMR,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cameroon,CMR,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cameroon,CMR,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Cameroon,CMR,"Total Reserves,,,,",TOTRESV,..
Cameroon,CMR,"Unemployment rate,Percent,,,",UNEMPSA_,..
Canada,CAN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,495.01434810752
Canada,CAN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Canada,CAN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,2058116.5
Canada,CAN,"Total Reserves,,,,",TOTRESV,83925.5692482159
Canada,CAN,"Unemployment rate,Percent,,,",UNEMPSA_,5.83333333333
Cape Verde,CPV,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cape Verde,CPV,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cape Verde,CPV,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Cape Verde,CPV,"Total Reserves,,,,",TOTRESV,606.43060029509
Cape Verde,CPV,"Unemployment rate,Percent,,,",UNEMPSA_,..
Cayman Islands,CYM,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cayman Islands,CYM,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cayman Islands,CYM,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Cayman Islands,CYM,"Total Reserves,,,,",TOTRESV,..
Cayman Islands,CYM,"Unemployment rate,Percent,,,",UNEMPSA_,..
Central African Republic,CAF,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Central African Republic,CAF,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Central African Republic,CAF,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Central African Republic,CAF,"Total Reserves,,,,",TOTRESV,..
Central African Republic,CAF,"Unemployment rate,Percent,,,",UNEMPSA_,..
Chad,TCD,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Chad,TCD,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Chad,TCD,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Chad,TCD,"Total Reserves,,,,",TOTRESV,..
Chad,TCD,"Unemployment rate,Percent,,,",UNEMPSA_,..
Chile,CHL,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,75856.1459753194
Chile,CHL,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,74064.3712868283
Chile,CHL,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,153767000
Chile,CHL,"Total Reserves,,,,",TOTRESV,58240.0506512301
Chile,CHL,"Unemployment rate,Percent,,,",UNEMPSA_,7.33650491219
China,CHN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,2105489.36118355
China,CHN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,2051792.45556483
China,CHN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,83933523.3263606
China,CHN,"Total Reserves,,,,",TOTRESV,3094003.11662893
China,CHN,"Unemployment rate,Percent,,,",UNEMPSA_,3.83507643314
Colombia,COL,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Colombia,COL,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Colombia,COL,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,853600000
Colombia,COL,"Total Reserves,,,,",TOTRESV,48401.5
Colombia,COL,"Unemployment rate,Percent,,,",UNEMPSA_,9.71617676269
Commodity-exporting EMDE,EDE,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,1263045.56581027
Commodity-exporting EMDE,EDE,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,1089278.53855755
Commodity-exporting EMDE,EDE,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Commodity-exporting EMDE,EDE,"Total Reserves,,,,",TOTRESV,2613903.92095021
Commodity-exporting EMDE,EDE,"Unemployment rate,Percent,,,",UNEMPSA_,10.06486511649
Commodity-importing EMDE,EDI,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,3922037.08071338
Commodity-importing EMDE,EDI,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,4266531.55558108
Commodity-importing EMDE,EDI,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Commodity-importing EMDE,EDI,"Total Reserves,,,,",TOTRESV,4575102.1884047
Commodity-importing EMDE,EDI,"Unemployment rate,Percent,,,",UNEMPSA_,5.70913341117
Commodity-importing EMDE excluding China,EDX,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,1816547.71952983
Commodity-importing EMDE excluding China,EDX,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,2214739.10001625
Commodity-importing EMDE excluding China,EDX,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Commodity-importing EMDE excluding China,EDX,"Total Reserves,,,,",TOTRESV,1487201.03104257
Commodity-importing EMDE excluding China,EDX,"Unemployment rate,Percent,,,",UNEMPSA_,..
Comoros,COM,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Comoros,COM,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Comoros,COM,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Comoros,COM,"Total Reserves,,,,",TOTRESV,..
Comoros,COM,"Unemployment rate,Percent,,,",UNEMPSA_,..
Congo Dem. Rep.,COD,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Congo Dem. Rep.,COD,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Congo Dem. Rep.,COD,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Congo Dem. Rep.,COD,"Total Reserves,,,,",TOTRESV,665.27209499291
Congo Dem. Rep.,COD,"Unemployment rate,Percent,,,",UNEMPSA_,..
Congo Rep.,COG,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Congo Rep.,COG,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Congo Rep.,COG,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Congo Rep.,COG,"Total Reserves,,,,",TOTRESV,..
Congo Rep.,COG,"Unemployment rate,Percent,,,",UNEMPSA_,..
Costa Rica,CRI,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Costa Rica,CRI,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Costa Rica,CRI,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,28500624.6
Costa Rica,CRI,"Total Reserves,,,,",TOTRESV,7500.9
Costa Rica,CRI,"Unemployment rate,Percent,,,",UNEMPSA_,..
Cote d'Ivoire,CIV,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cote d'Ivoire,CIV,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cote d'Ivoire,CIV,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Cote d'Ivoire,CIV,"Total Reserves,,,,",TOTRESV,..
Cote d'Ivoire,CIV,"Unemployment rate,Percent,,,",UNEMPSA_,..
Croatia,HRV,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Croatia,HRV,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Croatia,HRV,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,372150.268158931
Croatia,HRV,"Total Reserves,,,,",TOTRESV,19523.7044217854
Croatia,HRV,"Unemployment rate,Percent,,,",UNEMPSA_,9.85
Cuba,CUB,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cuba,CUB,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cuba,CUB,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Cuba,CUB,"Total Reserves,,,,",TOTRESV,..
Cuba,CUB,"Unemployment rate,Percent,,,",UNEMPSA_,..
Cyprus,CYP,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Cyprus,CYP,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Cyprus,CYP,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,20677.7
Cyprus,CYP,"Total Reserves,,,,",TOTRESV,376.66778374897
Cyprus,CYP,"Unemployment rate,Percent,,,",UNEMPSA_,8.41666666667
Czech Republic,CZE,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,230414.505844505
Czech Republic,CZE,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,206394.286796124
Czech Republic,CZE,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,5152731
Czech Republic,CZE,"Total Reserves,,,,",TOTRESV,142512.29
Czech Republic,CZE,"Unemployment rate,Percent,,,",UNEMPSA_,2.21666666667
Denmark,DNK,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,122436.721825399
Denmark,DNK,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,109721.287717176
Denmark,DNK,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,2082612
Denmark,DNK,"Total Reserves,,,,",TOTRESV,68302.5470558503
Denmark,DNK,"Unemployment rate,Percent,,,",UNEMPSA_,3.84768558076
Developing Countries,DEV,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,4666865.97028704
Developing Countries,DEV,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,4842112.33842557
Developing Countries,DEV,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Developing Countries,DEV,"Total Reserves,,,,",TOTRESV,6146027.81739052
Developing Countries,DEV,"Unemployment rate,Percent,,,",UNEMPSA_,6.4657285114
Djibouti,DJI,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Djibouti,DJI,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Djibouti,DJI,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Djibouti,DJI,"Total Reserves,,,,",TOTRESV,454.1939097186
Djibouti,DJI,"Unemployment rate,Percent,,,",UNEMPSA_,..
Dominica,DMA,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Dominica,DMA,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Dominica,DMA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Dominica,DMA,"Total Reserves,,,,",TOTRESV,191.32322830539
Dominica,DMA,"Unemployment rate,Percent,,,",UNEMPSA_,..
Dominican Republic,DOM,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Dominican Republic,DOM,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Dominican Republic,DOM,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Dominican Republic,DOM,"Total Reserves,,,,",TOTRESV,7627.6
Dominican Republic,DOM,"Unemployment rate,Percent,,,",UNEMPSA_,5.62809222827
East Asia & Pacific developing,EAP,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,2850332.42605832
